"EndDate","Symbol","EPInvest"
"2016-12-31","000006","95.0000"
"2016-12-31","000009","109.0000"
"2016-12-31","000012","5943.2900"
"2011-12-31","000021","519.6000"
"2015-12-31","000021","303.2000"
"2016-12-31","000021","1012.2300"
"2020-12-31","000021","2107.2500"
"2011-12-31","000027","8900.0000"
"2016-12-31","000027","9660.9000"
"2013-12-31","000028","700.0000"
"2016-12-31","000028","328.9800"
"2016-12-31","000031","107.9500"
"2016-12-31","000032","4.0200"
"2017-12-31","000032","5.8500"
"2014-12-31","000035","10825.0000"
"2015-12-31","000035","10808.1600"
"2016-12-31","000035","17117.9600"
"2017-12-31","000035","26096.3000"
"2010-12-31","000039","5800.0000"
"2011-12-31","000039","10000.0000"
"2012-12-31","000039","9000.0000"
"2015-12-31","000039","9500.0000"
"2016-12-31","000039","9.2000"
"2017-12-31","000039","54000.0000"
"2018-12-31","000039","42.0470"
"2015-12-31","000050","8124.7700"
"2016-12-31","000050","7568.2000"
"2017-12-31","000050","635.0000"
"2019-12-31","000050","13000.0000"
"2011-12-31","000055","81.1900"
"2012-12-31","000055","71.8500"
"2013-12-31","000055","78.2000"
"2014-12-31","000055","77.1800"
"2016-12-31","000055","121.0000"
"2017-12-31","000055","58.0000"
"2016-12-31","000060","6912.1700"
"2016-12-31","000065","5095.5400"
"2016-12-31","000066","225.3700"
"2016-12-31","000090","323.9000"
"2015-12-31","000100","35489.0000"
"2017-12-31","000100","21347.1800"
"2018-12-31","000100","19375.2800"
"2019-12-31","000100","31629.3800"
"2011-12-31","000157","1000.0000"
"2012-12-31","000157","1200.0000"
"2016-12-31","000157","1501.0000"
"2020-12-31","000157","5900.0000"
"2017-12-31","000159","615.0000"
"2016-12-31","000301","532.5900"
"2017-12-31","000301","469.5800"
"2016-12-31","000338","2100.0000"
"2016-12-31","000400","388.8200"
"2016-12-31","000401","5360.0000"
"2016-12-31","000413","901.7800"
"2016-12-31","000422","1183.0000"
"2017-12-31","000422","8138.0000"
"2018-12-31","000422","6151.0000"
"2019-12-31","000422","10300.0000"
"2015-12-31","000423","365.0000"
"2016-12-31","000423","350.0000"
"2016-12-31","000425","4390.2300"
"2016-12-31","000498","804.0000"
"2020-12-31","000498","18502.8500"
"2019-12-31","000513","102.5900"
"2014-12-31","000528","6267.0000"
"2015-12-31","000528","657.0000"
"2016-12-31","000528","608.0000"
"2017-12-31","000528","786.0000"
"2018-12-31","000528","1702.0000"
"2016-12-31","000530","562.0000"
"2015-12-31","000536","321.5000"
"2016-12-31","000536","353.9000"
"2015-12-31","000538","2087.8800"
"2016-12-31","000538","2213.1500"
"2016-12-31","000539","100516.9800"
"2017-12-31","000539","241600.0000"
"2016-12-31","000547","3.8500"
"2013-12-31","000550","4644.0000"
"2014-12-31","000550","349400.0000"
"2015-12-31","000550","2350.0000"
"2016-12-31","000550","3003.0000"
"2017-12-31","000550","3627.0000"
"2018-12-31","000550","4104.0000"
"2019-12-31","000550","7526.0000"
"2015-12-31","000553","3700.0000"
"2016-12-31","000559","3785.9000"
"2016-12-31","000568","111.2300"
"2011-12-31","000581","581.0000"
"2012-12-31","000581","653.0000"
"2016-12-31","000581","826.0000"
"2017-12-31","000581","1002.0000"
"2020-12-31","000581","1280.0000"
"2017-12-31","000582","5021.0000"
"2018-12-31","000582","8392.0400"
"2020-12-31","000582","13597.0000"
"2008-12-31","000589","550.0000"
"2009-12-31","000589","565.0000"
"2011-12-31","000589","2180.0000"
"2016-12-31","000596","826.2900"
"2015-12-31","000598","89850.1000"
"2016-12-31","000598","192366.8000"
"2017-12-31","000598","1240.0000"
"2020-12-31","000600","14500.0000"
"2016-12-31","000607","30.0000"
"2012-12-31","000612","1078.0000"
"2013-12-31","000612","5166.0000"
"2019-12-31","000619","957.0000"
"2016-12-31","000623","400.9700"
"2010-12-31","000625","1279.0000"
"2011-12-31","000625","2400.0000"
"2012-12-31","000625","2600.0000"
"2016-12-31","000625","27383.0000"
"2017-12-31","000625","2015.4200"
"2018-12-31","000625","21335.0000"
"2016-12-31","000629","2100.0000"
"2019-12-31","000629","12707.0000"
"2012-12-31","000630","9715.0000"
"2016-12-31","000630","16714.5000"
"2011-12-31","000635","4401.8600"
"2014-12-31","000635","11047.4000"
"2015-12-31","000635","6676.5000"
"2016-12-31","000635","7649.6900"
"2017-12-31","000635","9777.6400"
"2018-12-31","000635","7654.5000"
"2019-12-31","000635","4538.2700"
"2016-12-31","000651","284.0000"
"2016-12-31","000655","9883.8000"
"2016-12-31","000663","816.2500"
"2016-12-31","000672","5600.0000"
"2016-12-31","000680","211.5200"
"2016-12-31","000692","11000.0000"
"2018-12-31","000692","6298.5000"
"2016-12-31","000701","36.0000"
"2018-12-31","000703","50000.0000"
"2020-12-31","000703","8231.9100"
"2021-12-31","000708","50000.0000"
"2016-12-31","000723","15579.5602"
"2012-12-31","000725","152000.0000"
"2016-12-31","000725","42097.0000"
"2017-12-31","000725","40862.0100"
"2016-12-31","000726","564.5200"
"2018-12-31","000726","20000.0000"
"2015-12-31","000727","65.0000"
"2015-12-31","000729","7051.0000"
"2016-12-31","000729","9247.0000"
"2020-12-31","000729","4012.1300"
"2016-12-31","000735","3778.8600"
"2011-12-31","000756","1970.0000"
"2017-12-31","000756","12071.0000"
"2018-12-31","000756","17000.0000"
"2020-12-31","000756","22000.0000"
"2021-12-31","000756","21900.0000"
"2016-12-31","000758","4811.0000"
"2017-12-31","000758","3972.7100"
"2018-12-31","000758","1040.0000"
"2011-12-31","000761","10400.0000"
"2015-12-31","000761","19985.0000"
"2016-12-31","000761","39379.0000"
"2016-12-31","000762","1255.5900"
"2020-12-31","000762","1883.8400"
"2016-12-31","000768","1105.0100"
"2011-12-31","000778","13000.0000"
"2016-12-31","000778","51237.0000"
"2011-12-31","000786","11981.8000"
"2020-12-31","000786","34237.8400"
"2016-12-31","000792","43100.0000"
"2016-12-31","000800","1562.0000"
"2017-12-31","000800","1763.0000"
"2020-12-31","000800","2073.5000"
"2015-12-31","000807","24842.0000"
"2016-12-31","000807","19000.0000"
"2019-12-31","000807","24000.0000"
"2016-12-31","000815","1131.0000"
"2012-12-31","000821","243.7800"
"2013-12-31","000825","19723.0000"
"2016-12-31","000825","13298.1700"
"2018-12-31","000825","38449.7000"
"2020-12-31","000825","72200.0000"
"2016-12-31","000826","254305.0200"
"2012-12-31","000831","800.0000"
"2016-12-31","000833","2803.4700"
"2017-12-31","000833","2792.1700"
"2020-12-31","000833","3183.0000"
"2016-12-31","000858","7675.5900"
"2016-12-31","000869","630.0000"
"2017-12-31","000869","400.0000"
"2010-12-31","000876","1322.3100"
"2016-12-31","000876","1994.3300"
"2019-12-31","000876","49000.0000"
"2019-12-31","000877","13126.0000"
"2016-12-31","000878","3918.8000"
"2017-12-31","000878","11224.5000"
"2020-12-31","000878","86778.2700"
"2016-12-31","000883","3500.0000"
"2010-12-31","000895","519.0000"
"2017-12-31","000898","62000.0000"
"2021-12-31","000898","222000.0000"
"2014-12-31","000903","834.0000"
"2016-12-31","000926","3727.2400"
"2016-12-31","000927","433.0000"
"2015-12-31","000932","30968.0000"
"2020-12-31","000932","122000.0000"
"2021-12-31","000932","188200.0000"
"2016-12-31","000933","14567.4000"
"2016-12-31","000937","3181.0000"
"2012-12-31","000949","3500.0000"
"2014-12-31","000949","5387.3600"
"2015-12-31","000949","6200.9600"
"2016-12-31","000950","211.5000"
"2017-12-31","000950","180.0000"
"2020-12-31","000950","90.6400"
"2011-12-31","000960","9412.0000"
"2014-12-31","000960","33623.9200"
"2015-12-31","000960","23740.0000"
"2016-12-31","000960","19952.0000"
"2017-12-31","000960","25626.0000"
"2016-12-31","000962","1200.0000"
"2018-12-31","000963","2457.0000"
"2014-12-31","000966","61549.0000"
"2008-12-31","000968","6089.0000"
"2014-12-31","000968","4486.4400"
"2015-12-31","000968","4412.0000"
"2016-12-31","000968","369.6200"
"2016-12-31","000969","327.0000"
"2016-12-31","000977","200.1600"
"2016-12-31","000983","1348.0000"
"2017-12-31","000983","27000.0000"
"2018-12-31","000983","29800.0000"
"2020-12-31","000983","25633.3600"
"2016-12-31","000988","86.3000"
"2016-12-31","000993","357.0000"
"2014-12-31","000999","1632.9000"
"2015-12-31","000999","2689.1000"
"2016-12-31","000999","2689.1000"
"2019-12-31","000999","3510.9700"
"2020-12-31","000999","3329.0000"
"2020-12-31","001872","14547.0000"
"2021-12-31","001872","23667.0000"
"2008-12-31","002001","3000.0000"
"2016-12-31","002001","4840.7300"
"2017-12-31","002001","16861.8800"
"2020-12-31","002001","46300.0000"
"2014-12-31","002003","928.8700"
"2015-12-31","002003","2112.9300"
"2016-12-31","002003","2336.5400"
"2015-12-31","002006","25.0000"
"2016-12-31","002006","22.0000"
"2016-12-31","002007","501.3900"
"2016-12-31","002014","370.0000"
"2015-12-31","002018","1230.0000"
"2016-12-31","002029","34.6800"
"2016-12-31","002030","93.6900"
"2016-12-31","002033","7710.6400"
"2016-12-31","002035","57.1000"
"2016-12-31","002038","58.5000"
"2010-12-31","002039","9696.8900"
"2014-12-31","002039","1820.0000"
"2020-12-31","002039","771.0000"
"2016-12-31","002041","4.0000"
"2012-12-31","002042","625.0000"
"2013-12-31","002042","825.0000"
"2016-12-31","002042","3850.0000"
"2016-12-31","002051","2500.0000"
"2014-12-31","002053","1100.0000"
"2016-12-31","002053","507.0900"
"2017-12-31","002053","1087.0000"
"2012-12-31","002054","51.3700"
"2013-12-31","002054","150.6000"
"2014-12-31","002054","118.5400"
"2016-12-31","002054","335.8000"
"2017-12-31","002054","606.3100"
"2008-12-31","002056","510.0000"
"2009-12-31","002056","470.0000"
"2010-12-31","002056","2210.0000"
"2014-12-31","002056","3000.0000"
"2016-12-31","002056","5119.0000"
"2017-12-31","002056","8928.0000"
"2019-12-31","002056","4763.0000"
"2021-12-31","002056","7230.4000"
"2013-12-31","002062","541.5700"
"2014-12-31","002062","772.1200"
"2016-12-31","002062","146.2600"
"2017-12-31","002062","608.5400"
"2018-12-31","002062","2487.5000"
"2019-12-31","002062","2092.0900"
"2020-12-31","002062","1716.5300"
"2016-12-31","002063","4.8900"
"2016-12-31","002064","1034.0000"
"2017-12-31","002064","800.0000"
"2018-12-31","002064","760.0000"
"2020-12-31","002064","1050.0000"
"2019-12-31","002066","2776.0000"
"2012-12-31","002067","10203.0000"
"2013-12-31","002067","7032.0000"
"2016-12-31","002067","8394.0000"
"2017-12-31","002067","3655.0000"
"2019-12-31","002067","10732.9600"
"2020-12-31","002067","10202.0350"
"2021-12-31","002067","2849.7700"
"2016-12-31","002070","348.7400"
"2016-12-31","002073","40.0000"
"2020-12-31","002074","1022.2838"
"2016-12-31","002078","31415.0000"
"2016-12-31","002079","244.7300"
"2010-12-31","002080","882.5600"
"2016-12-31","002080","4303.3900"
"2016-12-31","002081","3450.0000"
"2016-12-31","002084","1489.5700"
"2016-12-31","002092","42123.0000"
"2016-12-31","002096","584.5000"
"2016-12-31","002098","276.7900"
"2016-12-31","002103","42.3500"
"2013-12-31","002110","2751.0000"
"2014-12-31","002110","1353.0000"
"2016-12-31","002110","82000.0000"
"2017-12-31","002110","95000.0000"
"2016-12-31","002129","3621.2900"
"2013-12-31","002136","7182.4500"
"2014-12-31","002136","7686.9900"
"2016-12-31","002136","5949.7600"
"2017-12-31","002136","6322.6000"
"2018-12-31","002136","10936.0400"
"2019-12-31","002136","11017.0100"
"2016-12-31","002144","533.1100"
"2013-12-31","002145","12000.0000"
"2016-12-31","002145","14600.0000"
"2020-12-31","002145","26404.3000"
"2016-12-31","002146","730.4000"
"2020-12-31","002149","280.0000"
"2016-12-31","002155","4183.0000"
"2012-12-31","002161","30.0000"
"2018-12-31","002161","10.2975"
"2011-12-31","002162","550.0000"
"2012-12-31","002162","308.5500"
"2016-12-31","002162","300.8700"
"2013-12-31","002165","339.8000"
"2016-12-31","002165","325.0000"
"2016-12-31","002170","64.9600"
"2016-12-31","002176","150.0000"
"2017-12-31","002176","150.0000"
"2012-12-31","002179","300.0000"
"2013-12-31","002179","140.0000"
"2016-12-31","002179","1034.5500"
"2019-12-31","002179","829.0000"
"2020-12-31","002179","3087.9000"
"2021-12-31","002179","1905.0100"
"2016-12-31","002189","65.0000"
"2020-12-31","002189","200.0000"
"2011-12-31","002203","1173.6000"
"2013-12-31","002203","667.3000"
"2014-12-31","002203","6043.8000"
"2015-12-31","002203","2427.7800"
"2016-12-31","002203","1695.3000"
"2018-12-31","002203","4967.4400"
"2019-12-31","002203","1635.5726"
"2020-12-31","002203","20957.5300"
"2016-12-31","002222","75.6800"
"2008-12-31","002229","94.2000"
"2016-12-31","002229","194.1000"
"2015-12-31","002233","3330.7800"
"2016-12-31","002233","2844.0000"
"2015-12-31","002236","565.5600"
"2016-12-31","002236","245.8700"
"2014-12-31","002237","5515.4300"
"2015-12-31","002237","7892.0450"
"2017-12-31","002237","23291.1300"
"2018-12-31","002237","19536.5400"
"2019-12-31","002237","26983.9700"
"2021-12-31","002237","19185.4100"
"2020-12-31","002239","300.0000"
"2016-12-31","002241","926.5000"
"2018-12-31","002244","44200.0000"
"2016-12-31","002246","2390.0000"
"2017-12-31","002246","1993.0000"
"2021-12-31","002246","6010.0000"
"2013-12-31","002249","120.0000"
"2014-12-31","002249","122.3700"
"2015-12-31","002249","162.3000"
"2016-12-31","002249","162.3000"
"2014-12-31","002250","16000.0000"
"2015-12-31","002250","17556.8100"
"2016-12-31","002250","15363.5900"
"2016-12-31","002252","280.0000"
"2013-12-31","002271","3612.9700"
"2014-12-31","002271","2420.6550"
"2015-12-31","002271","2287.4100"
"2016-12-31","002271","2115.7400"
"2017-12-31","002271","4449.2700"
"2018-12-31","002271","4149.2994"
"2016-12-31","002276","150.5100"
"2016-12-31","002281","25.0000"
"2020-12-31","002281","141.6900"
"2015-12-31","002286","960.9000"
"2016-12-31","002286","1040.0000"
"2014-12-31","002287","151.9400"
"2015-12-31","002287","18.4500"
"2016-12-31","002287","25.8000"
"2016-12-31","002292","77.1900"
"2015-12-31","002296","0.4000"
"2016-12-31","002296","1.9900"
"2017-12-31","002296","0.6900"
"2016-12-31","002299","3759.3500"
"2011-12-31","002300","300.0000"
"2016-12-31","002300","32.3400"
"2016-12-31","002304","3281.8100"
"2016-12-31","002317","267.7200"
"2014-12-31","002318","1700.0000"
"2015-12-31","002318","1300.0000"
"2014-12-31","002326","1675.8000"
"2016-12-31","002331","133.6000"
"2010-12-31","002340","6965.0000"
"2011-12-31","002340","8070.7800"
"2012-12-31","002340","5482.9800"
"2014-12-31","002340","13602.6400"
"2016-12-31","002340","17120.2000"
"2017-12-31","002340","33195.8800"
"2016-12-31","002348","20.0000"
"2016-12-31","002353","34.9900"
"2020-12-31","002365","2000.0000"
"2016-12-31","002368","518916.6000"
"2018-12-31","002371","485.3300"
"2016-12-31","002372","186.9400"
"2016-12-31","002385","1512.7200"
"2014-12-31","002386","12000.0000"
"2018-12-31","002386","15700.0000"
"2016-12-31","002394","2247.2000"
"2016-12-31","002396","61.5500"
"2020-12-31","002407","1300.0000"
"2016-12-31","002415","263.4800"
"2011-12-31","002418","747.9800"
"2015-12-31","002419","2243.2500"
"2016-12-31","002419","1539.0000"
"2010-12-31","002422","2225.9000"
"2011-12-31","002422","3339.4100"
"2012-12-31","002422","3436.8400"
"2013-12-31","002422","44259.8067"
"2015-12-31","002422","37237.0000"
"2016-12-31","002422","22031.6300"
"2017-12-31","002422","24294.0000"
"2018-12-31","002422","36400.0000"
"2020-12-31","002422","47334.0000"
"2016-12-31","002438","43.0000"
"2016-12-31","002450","99.3400"
"2016-12-31","002454","64.0000"
"2016-12-31","002456","82.4000"
"2018-12-31","002460","11087.8000"
"2019-12-31","002460","12284.0000"
"2020-12-31","002460","8372.0000"
"2013-12-31","002463","2200.0000"
"2016-12-31","002465","60.0000"
"2020-12-31","002465","145700.0000"
"2011-12-31","002466","956.3700"
"2012-12-31","002466","1438.2000"
"2013-12-31","002466","1588.4600"
"2014-12-31","002466","693.3700"
"2016-12-31","002474","3.5500"
"2016-12-31","002475","234.0000"
"2016-12-31","002477","2572.7500"
"2011-12-31","002486","167.5700"
"2017-12-31","002496","40000.0000"
"2016-12-31","002498","36.0000"
"2016-12-31","002508","131.6400"
"2016-12-31","002509","168.6800"
"2011-12-31","002515","300.0000"
"2016-12-31","002523","111.0000"
"2016-12-31","002527","37.9000"
"2017-12-31","002527","44.5000"
"2018-12-31","002527","45.6500"
"2016-12-31","002543","754.9800"
"2016-12-31","002544","309.1100"
"2017-12-31","002544","3540.0000"
"2018-12-31","002544","1200.0000"
"2020-12-31","002544","1400.0000"
"2016-12-31","002548","394.7900"
"2016-12-31","002557","203.0000"
"2016-12-31","002578","347.1000"
"2016-12-31","002582","1251.3200"
"2014-12-31","002594","35300.0000"
"2016-12-31","002594","25245.8400"
"2020-12-31","002600","8925.7600"
"2017-12-31","002601","31590.0000"
"2011-12-31","002626","1454.0000"
"2013-12-31","002626","2400.0000"
"2016-12-31","002626","575.0000"
"2016-12-31","002635","8.7200"
"2016-12-31","002639","49.2000"
"2016-12-31","002641","155.4200"
"2020-12-31","002641","85.2100"
"2016-12-31","002653","1000.0000"
"2012-12-31","002672","1913.0000"
"2013-12-31","002674","2067.1900"
"2016-12-31","002674","4549.1600"
"2016-12-31","002728","340.1600"
"2016-12-31","002734","9139.0000"
"2018-12-31","002734","8532.4300"
"2019-12-31","002734","9952.8700"
"2015-12-31","002773","219.6600"
"2017-12-31","002773","468.0400"
"2018-12-31","002773","776.1100"
"2019-12-31","002773","785.0600"
"2020-12-31","002773","493.2100"
"2018-12-31","002783","1227.5300"
"2017-12-31","002815","4956.9400"
"2018-12-31","002815","3529.5300"
"2020-12-31","002841","50.0000"
"2020-12-31","002847","1106.6400"
"2021-12-31","002847","753.0000"
"2017-12-31","002913","2529.5200"
"2019-12-31","002915","2080.3900"
"2019-12-31","002918","3930.3400"
"2019-12-31","002937","255.4000"
"2018-12-31","002938","32200.0000"
"2019-12-31","002938","37000.0000"
"2016-12-31","300004","79.1900"
"2016-12-31","300015","318.1500"
"2016-12-31","300016","91.7500"
"2015-12-31","300019","493.6500"
"2016-12-31","300019","315.0200"
"2016-12-31","300024","26.5300"
"2016-12-31","300030","73.2900"
"2013-12-31","300034","372.0000"
"2016-12-31","300034","13.0000"
"2016-12-31","300039","134.0100"
"2016-12-31","300043","2.6600"
"2016-12-31","300047","10.0000"
"2016-12-31","300062","23.4400"
"2016-12-31","300067","2060.7900"
"2020-12-31","300070","500.0000"
"2016-12-31","300077","0.8000"
"2016-12-31","300080","2204.3000"
"2016-12-31","300082","150.0000"
"2016-12-31","300086","191.0000"
"2016-12-31","300110","108.6000"
"2016-12-31","300124","48.6000"
"2016-12-31","300132","1160.0000"
"2017-12-31","300134","100.0000"
"2020-12-31","300142","402.9951"
"2013-12-31","300165","1.5200"
"2016-12-31","300174","182.3000"
"2016-12-31","300179","96.8600"
"2011-12-31","300181","537.1600"
"2013-12-31","300181","247.6800"
"2014-12-31","300181","1311.8600"
"2015-12-31","300181","782.0000"
"2016-12-31","300181","2252.3900"
"2020-12-31","300207","5192.0000"
"2016-12-31","300248","30000.0000"
"2015-12-31","300259","8.4100"
"2016-12-31","300259","59.8000"
"2015-12-31","300296","1.5000"
"2016-12-31","300296","3.0000"
"2014-12-31","300349","9.5000"
"2015-12-31","300349","12.7000"
"2016-12-31","300349","122.0000"
"2017-12-31","300363","4224.0000"
"2020-12-31","300363","5920.0000"
"2016-12-31","300387","205.7000"
"2017-12-31","300452","72.6600"
"2019-12-31","300452","875.6300"
"2016-12-31","300463","60.8900"
"2017-12-31","300463","86.4100"
"2016-12-31","300488","70.0000"
"2016-12-31","300498","66303.8500"
"2017-12-31","300498","92700.0000"
"2018-12-31","300498","72500.0000"
"2019-12-31","300498","6780.0000"
"2020-12-31","300498","67500.0000"
"2016-12-31","300549","30.1200"
"2017-12-31","300549","18.5000"
"2018-12-31","300549","44.3600"
"2019-12-31","300549","100.9200"
"2017-12-31","300583","4211.3700"
"2020-12-31","300599","296.0000"
"2018-12-31","300721","1693.8300"
"2019-12-31","300721","549.8900"
"2018-12-31","300737","306.9700"
"2020-12-31","300748","818.0400"
"2019-12-31","300759","1165.2300"
"2019-12-31","300760","73.0000"
"2020-12-31","300865","105344.8800"
"2020-12-31","300999","49600.0000"
"2014-12-31","600005","190000.0000"
"2013-12-31","600017","9688.0000"
"2015-12-31","600017","8700.0000"
"2015-12-31","600019","137400.0025"
"2017-12-31","600019","803400.0000"
"2015-12-31","600021","46000.0000"
"2014-12-31","600022","15982.8000"
"2016-12-31","600022","3977.0000"
"2020-12-31","600022","250000.0000"
"2015-12-31","600026","2504.5000"
"2018-12-31","600027","267699.0000"
"2010-12-31","600028","38800.0000"
"2014-12-31","600028","941000.0000"
"2016-12-31","600028","636000.0000"
"2017-12-31","600028","785100.0000"
"2020-12-31","600028","1140000.0000"
"2010-12-31","600029","23946.0000"
"2012-12-31","600058","18578.0000"
"2015-12-31","600058","28000.0000"
"2021-12-31","600058","325.9500"
"2013-12-31","600062","25.0000"
"2015-12-31","600062","1129.0000"
"2016-12-31","600062","2335.0000"
"2019-12-31","600062","3459.0000"
"2020-12-31","600062","4148.0000"
"2016-12-31","600063","1875.1626"
"2017-12-31","600063","48634152.8200"
"2018-12-31","600063","9301.4900"
"2013-12-31","600068","29145.0000"
"2015-12-31","600068","24630.0000"
"2016-12-31","600068","204800.0000"
"2018-12-31","600068","811100.0000"
"2019-12-31","600068","104900.0000"
"2010-12-31","600070","918.2900"
"2011-12-31","600070","929.1300"
"2012-12-31","600070","990.0400"
"2013-12-31","600070","1334.9000"
"2016-12-31","600070","1269.6000"
"2018-12-31","600070","1358.6900"
"2019-12-31","600070","1349.7800"
"2016-12-31","600075","4056.8900"
"2017-12-31","600075","8526.0000"
"2018-12-31","600075","9924.5500"
"2020-12-31","600079","2400.0000"
"2009-12-31","600085","1258.5300"
"2013-12-31","600089","4000.0000"
"2018-12-31","600089","34800.0000"
"2014-12-31","600096","10499.0000"
"2016-12-31","600096","26569.8500"
"2017-12-31","600096","14503.0000"
"2018-12-31","600096","24788.0000"
"2015-12-31","600098","30000.0000"
"2020-12-31","600099","19.5204"
"2020-12-31","600115","64000.0000"
"2014-12-31","600117","5900.0000"
"2015-12-31","600117","2941.0000"
"2015-12-31","600121","364.1200"
"2008-12-31","600123","9777.0000"
"2009-12-31","600123","3775.6900"
"2010-12-31","600123","3240.0000"
"2011-12-31","600123","4943.0000"
"2012-12-31","600123","5767.0000"
"2014-12-31","600123","3448.0000"
"2016-12-31","600123","3893.0000"
"2017-12-31","600123","7253.5500"
"2016-12-31","600135","760.0000"
